epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.81479,0.63021,0.64835,1,0.6512,0.00028339,0.00028339,0.00028339
2,5.54622,0.41553,0.61538,1,0.99365,0.000571898,0.000571898,0.000571898
3,8.18029,0.40081,0.7033,1,0.76725,0.000848523,0.000848523,0.000848523
4,12.3319,0.4344,0.65934,1,1.15739,0.00111327,0.00111327,0.00111327
5,22.5257,0.58485,0.57143,1,1.6014,0.00136613,0.00136613,0.00136613
6,27.9157,0.5522,0.51648,1,2.28516,0.00150197,0.00150197,0.00150197
7,30.1106,0.60611,0.57143,1,nan,0.00146896,0.00146896,0.00146896
8,33.1095,0.67269,0.41758,1,nan,0.00143595,0.00143595,0.00143595
9,37.5898,0.72652,0.52747,1,12.4531,0.00140295,0.00140295,0.00140295
10,39.8,0.67682,0.52747,1,5.22201,0.00136994,0.00136994,0.00136994
11,42.8349,0.60852,0.6044,1,1.30404,0.00133693,0.00133693,0.00133693
12,45.9596,0.57326,0.50549,1,0.78857,0.00130393,0.00130393,0.00130393
13,48.1245,0.56312,0.54945,1,1.15511,0.00127092,0.00127092,0.00127092
14,50.971,0.63775,0.56044,1,1.2653,0.00123791,0.00123791,0.00123791
15,55.4068,0.62079,0.62637,1,1.01351,0.00120491,0.00120491,0.00120491
16,57.6249,0.5711,0.59341,1,0.74658,0.0011719,0.0011719,0.0011719
17,60.4984,0.53531,0.59341,1,0.82992,0.00113889,0.00113889,0.00113889
18,63.6601,0.55502,0.58242,1,0.83724,0.00110589,0.00110589,0.00110589
19,65.995,0.52554,0.50549,1,0.78825,0.00107288,0.00107288,0.00107288
20,68.9247,0.53494,0.65934,1,0.76042,0.00103987,0.00103987,0.00103987
21,73.3463,0.52848,0.57143,1,0.79085,0.00100687,0.00100687,0.00100687
22,75.5649,0.58444,0.59341,1,0.74186,0.000973861,0.000973861,0.000973861
23,78.3965,0.5425,0.64835,1,0.77686,0.000940855,0.000940855,0.000940855
24,81.5626,0.49874,0.62637,1,0.77148,0.000907848,0.000907848,0.000907848
25,83.7488,0.49797,0.59341,1,0.70182,0.000874842,0.000874842,0.000874842
26,86.6188,0.4648,0.53846,1,0.98763,0.000841835,0.000841835,0.000841835
27,91.1759,0.47119,0.56044,1,0.99626,0.000808828,0.000808828,0.000808828
28,93.4079,0.49159,0.56044,1,1.03483,0.000775822,0.000775822,0.000775822
29,96.4189,0.51369,0.6044,1,0.7736,0.000742815,0.000742815,0.000742815
30,98.6385,0.49328,0.59341,1,0.8737,0.000709809,0.000709809,0.000709809
31,101.639,0.52952,0.61538,1,0.74251,0.000676802,0.000676802,0.000676802
32,106.284,0.49764,0.59341,1,0.80892,0.000643795,0.000643795,0.000643795
33,108.49,0.51121,0.6044,1,0.71908,0.000610789,0.000610789,0.000610789
34,111.437,0.49571,0.6044,1,0.68376,0.000577782,0.000577782,0.000577782
35,114.439,0.43265,0.61538,1,0.74886,0.000544776,0.000544776,0.000544776
36,116.661,0.46111,0.53846,1,0.9113,0.000511769,0.000511769,0.000511769
37,119.507,0.48724,0.57143,1,1.00749,0.000478762,0.000478762,0.000478762
38,138.415,0.41851,0.59341,1,0.83252,0.000445756,0.000445756,0.000445756
39,140.625,0.44794,0.59341,1,0.79785,0.000412749,0.000412749,0.000412749
40,143.474,0.40219,0.54945,1,0.86182,0.000379743,0.000379743,0.000379743
41,146.99,0.39316,0.54945,1,0.99805,0.000346736,0.000346736,0.000346736
42,149.472,0.39093,0.59341,1,0.86361,0.000313729,0.000313729,0.000313729
43,152.362,0.38098,0.59341,1,0.84945,0.000280723,0.000280723,0.000280723
44,156.992,0.34293,0.57143,1,0.93132,0.000247716,0.000247716,0.000247716
45,159.22,0.3539,0.54945,1,0.94238,0.00021471,0.00021471,0.00021471
46,162.099,0.35637,0.56044,1,0.93506,0.000181703,0.000181703,0.000181703
47,165.142,0.38858,0.59341,1,0.86621,0.000148696,0.000148696,0.000148696
48,167.383,0.35395,0.6044,1,0.81152,0.00011569,0.00011569,0.00011569
49,170.265,0.31925,0.59341,1,0.7972,8.26832e-05,8.26832e-05,8.26832e-05
50,174.963,0.33748,0.59341,1,0.87646,4.96766e-05,4.96766e-05,4.96766e-05
