epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.24788,0.64151,0.64062,1,0.66309,0.00020004,0.00020004,0.00020004
2,4.5181,0.32274,0.78125,1,0.6012,0.000408498,0.000408498,0.000408498
3,6.88697,0.22237,0.70312,1,0.823,0.000608375,0.000608375,0.000608375
4,8.84576,0.35093,0.79688,1,1.28809,0.00079967,0.00079967,0.00079967
5,12.1619,0.18749,0.70312,1,1.28662,0.000982383,0.000982383,0.000982383
6,14.7029,0.33366,0.64062,1,2.73633,0.00115651,0.00115651,0.00115651
7,18.6018,0.35748,0.71875,1,1.18335,0.00132206,0.00132206,0.00132206
8,20.6777,0.38759,0.75,1,2.12061,0.00143595,0.00143595,0.00143595
9,22.3655,0.39332,0.73438,1,1.50684,0.00140295,0.00140295,0.00140295
10,24.0823,0.65636,0.54688,1,1.57422,0.00136994,0.00136994,0.00136994
11,25.9656,0.51928,0.70312,1,0.85449,0.00133693,0.00133693,0.00133693
12,28.4773,0.40212,0.76562,1,2.12207,0.00130393,0.00130393,0.00130393
13,31.9263,0.41525,0.625,1,3.68164,0.00127092,0.00127092,0.00127092
14,34.3126,0.43684,0.64062,1,1.0647,0.00123791,0.00123791,0.00123791
15,36.0094,0.50248,0.59375,1,0.97485,0.00120491,0.00120491,0.00120491
16,37.7581,0.45239,0.60938,1,2.66504,0.0011719,0.0011719,0.0011719
17,39.5194,0.41959,0.65625,1,1.74707,0.00113889,0.00113889,0.00113889
18,42.011,0.43922,0.5625,1,2.69727,0.00110589,0.00110589,0.00110589
19,45.4539,0.44642,0.5625,1,3.00098,0.00107288,0.00107288,0.00107288
20,47.7125,0.33272,0.64062,1,0.91211,0.00103987,0.00103987,0.00103987
21,49.4055,0.3713,0.64062,1,1.35791,0.00100687,0.00100687,0.00100687
22,51.1248,0.38327,0.6875,1,1.34961,0.000973861,0.000973861,0.000973861
23,52.8868,0.34906,0.67188,1,2.28809,0.000940855,0.000940855,0.000940855
24,55.3933,0.30983,0.65625,1,0.86816,0.000907848,0.000907848,0.000907848
25,58.7353,0.31836,0.76562,1,0.70361,0.000874842,0.000874842,0.000874842
26,61.1239,0.29462,0.75,1,0.81482,0.000841835,0.000841835,0.000841835
27,62.9624,0.27912,0.76562,1,0.83032,0.000808828,0.000808828,0.000808828
28,64.7032,0.28271,0.6875,1,0.96948,0.000775822,0.000775822,0.000775822
29,66.4593,0.32453,0.70312,1,1.12036,0.000742815,0.000742815,0.000742815
30,68.9379,0.32576,0.71875,1,0.9563,0.000709809,0.000709809,0.000709809
31,72.3069,0.25037,0.71875,1,0.81348,0.000676802,0.000676802,0.000676802
32,74.5377,0.21402,0.71875,1,0.78687,0.000643795,0.000643795,0.000643795
33,76.2404,0.29416,0.73438,1,1.03125,0.000610789,0.000610789,0.000610789
34,77.9597,0.19367,0.73438,1,0.95215,0.000577782,0.000577782,0.000577782
35,79.8764,0.18966,0.71875,1,1.06104,0.000544776,0.000544776,0.000544776
36,82.4055,0.19546,0.71875,1,1.20361,0.000511769,0.000511769,0.000511769
37,85.7761,0.19126,0.70312,1,1.19897,0.000478762,0.000478762,0.000478762
38,88.1284,0.1577,0.71875,1,1.22998,0.000445756,0.000445756,0.000445756
39,89.8423,0.21033,0.75,1,1.30273,0.000412749,0.000412749,0.000412749
40,91.5889,0.12966,0.75,1,1.44189,0.000379743,0.000379743,0.000379743
41,93.8295,0.18744,0.75,1,1.44434,0.000346736,0.000346736,0.000346736
42,96.3388,0.16781,0.71875,1,1.33398,0.000313729,0.000313729,0.000313729
43,99.8855,0.13994,0.6875,1,1.34961,0.000280723,0.000280723,0.000280723
44,102.2,0.14614,0.70312,1,1.20215,0.000247716,0.000247716,0.000247716
45,103.92,0.13044,0.70312,1,1.15967,0.00021471,0.00021471,0.00021471
46,105.647,0.17113,0.70312,1,1.11206,0.000181703,0.000181703,0.000181703
47,107.421,0.21964,0.73438,1,1.02319,0.000148696,0.000148696,0.000148696
48,109.953,0.09983,0.71875,1,1.09424,0.00011569,0.00011569,0.00011569
49,113.319,0.10412,0.71875,1,1.07739,8.26832e-05,8.26832e-05,8.26832e-05
50,115.697,0.14591,0.73438,1,1.12134,4.96766e-05,4.96766e-05,4.96766e-05
