epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.41618,0.69576,0.48,1,0.77409,0.00025005,0.00025005,0.00025005
2,6.13013,0.31491,0.53333,1,0.92171,0.000506538,0.000506538,0.000506538
3,12.2983,0.17514,0.46667,1,2.32943,0.000752464,0.000752464,0.000752464
4,15.643,0.34031,0.58667,1,1.47852,0.000987828,0.000987828,0.000987828
5,21.1816,0.68789,0.8,1,0.72062,0.00121263,0.00121263,0.00121263
6,26.8788,0.57344,0.62667,1,2.8291,0.00142687,0.00142687,0.00142687
7,29.9378,0.59051,0.53333,1,6.05078,0.00146896,0.00146896,0.00146896
8,33.005,0.60076,0.58667,1,4.96094,0.00143595,0.00143595,0.00143595
9,36.3104,0.73133,0.68,1,6.31771,0.00140295,0.00140295,0.00140295
10,39.5578,0.66181,0.61333,1,5.7181,0.00136994,0.00136994,0.00136994
11,42.9189,0.47715,0.56,1,4.27669,0.00133693,0.00133693,0.00133693
12,46.2363,0.66611,0.54667,1,1.64388,0.00130393,0.00130393,0.00130393
13,49.3953,0.58778,0.50667,1,1.30664,0.00127092,0.00127092,0.00127092
14,52.7852,0.57501,0.73333,1,0.72518,0.00123791,0.00123791,0.00123791
15,56.0143,0.57092,0.61333,1,0.87793,0.00120491,0.00120491,0.00120491
16,59.2681,0.57023,0.53333,1,0.93392,0.0011719,0.0011719,0.0011719
17,62.6277,0.51446,0.72,1,0.99154,0.00113889,0.00113889,0.00113889
18,65.9193,0.44586,0.70667,1,1.04297,0.00110589,0.00110589,0.00110589
19,69.0947,0.46242,0.62667,1,0.92684,0.00107288,0.00107288,0.00107288
20,72.5019,0.49,0.69333,1,0.89974,0.00103987,0.00103987,0.00103987
21,75.7683,0.4696,0.64,1,0.63534,0.00100687,0.00100687,0.00100687
22,78.972,0.48043,0.61333,1,0.67367,0.000973861,0.000973861,0.000973861
23,82.3724,0.44799,0.58667,1,0.81299,0.000940855,0.000940855,0.000940855
24,85.6167,0.37707,0.66667,1,0.8571,0.000907848,0.000907848,0.000907848
25,88.8101,0.41773,0.68,1,0.99658,0.000874842,0.000874842,0.000874842
26,92.2225,0.35582,0.69333,1,0.81999,0.000841835,0.000841835,0.000841835
27,95.4918,0.41534,0.68,1,0.95215,0.000808828,0.000808828,0.000808828
28,98.6778,0.45594,0.6,1,1.2347,0.000775822,0.000775822,0.000775822
29,102.075,0.47533,0.66667,1,0.65951,0.000742815,0.000742815,0.000742815
30,105.325,0.39678,0.6,1,0.67065,0.000709809,0.000709809,0.000709809
31,108.597,0.33792,0.57333,1,0.78743,0.000676802,0.000676802,0.000676802
32,111.826,0.3075,0.65333,1,0.97363,0.000643795,0.000643795,0.000643795
33,115.201,0.40761,0.62667,1,0.87565,0.000610789,0.000610789,0.000610789
34,118.703,0.39547,0.65333,1,1.01514,0.000577782,0.000577782,0.000577782
35,121.926,0.29604,0.68,1,0.76074,0.000544776,0.000544776,0.000544776
36,125.292,0.40403,0.65333,1,0.8335,0.000511769,0.000511769,0.000511769
37,128.494,0.34572,0.61333,1,0.81999,0.000478762,0.000478762,0.000478762
38,131.869,0.25675,0.62667,1,1.14193,0.000445756,0.000445756,0.000445756
39,135.127,0.23175,0.62667,1,1.15885,0.000412749,0.000412749,0.000412749
40,138.456,0.27807,0.64,1,1.45785,0.000379743,0.000379743,0.000379743
41,142.234,0.26093,0.64,1,0.99105,0.000346736,0.000346736,0.000346736
42,145.44,0.26056,0.68,1,0.83553,0.000313729,0.000313729,0.000313729
43,148.79,0.26693,0.68,1,1.1333,0.000280723,0.000280723,0.000280723
44,152.079,0.22883,0.64,1,1.37891,0.000247716,0.000247716,0.000247716
45,155.278,0.19201,0.66667,1,1.3278,0.00021471,0.00021471,0.00021471
46,158.62,0.15737,0.70667,1,1.04183,0.000181703,0.000181703,0.000181703
47,161.919,0.23037,0.66667,1,1.05924,0.000148696,0.000148696,0.000148696
48,165.121,0.28524,0.69333,1,1.12695,0.00011569,0.00011569,0.00011569
49,168.523,0.14245,0.65333,1,1.26807,8.26832e-05,8.26832e-05,8.26832e-05
50,171.72,0.22566,0.69333,1,1.02799,4.96766e-05,4.96766e-05,4.96766e-05
