epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.9428,0.68201,0.71591,1,0.61613,0.000545377,0.000545377,0.000545377
2,13.6244,0.68663,0.51515,1,3.67546,0.00107924,0.00107924,0.00107924
3,20.0324,0.78565,0.60606,1,nan,0.0015911,0.0015911,0.0015911
4,28.0345,0.70329,0.62121,1,0.68023,0.00156798,0.00156798,0.00156798
5,34.2028,0.70652,0.55303,1,0.71924,0.00153497,0.00153497,0.00153497
6,40.389,0.70658,0.59091,1,0.7666,0.00150197,0.00150197,0.00150197
7,46.57,0.7025,0.61364,1,0.71126,0.00146896,0.00146896,0.00146896
8,54.3944,0.70642,0.54924,1,0.69287,0.00143595,0.00143595,0.00143595
9,60.4625,0.7181,0.59848,1,nan,0.00140295,0.00140295,0.00140295
10,66.7934,0.71404,0.53788,1,0.7187,0.00136994,0.00136994,0.00136994
11,74.6624,0.72463,0.50379,1,1.1078,0.00133693,0.00133693,0.00133693
12,80.8283,0.70611,0.61364,1,nan,0.00130393,0.00130393,0.00130393
13,86.9999,0.696,0.54924,1,0.81467,0.00127092,0.00127092,0.00127092
14,92.737,0.70426,0.57197,1,0.69564,0.00123791,0.00123791,0.00123791
15,98.9646,0.71036,0.56439,1,0.68609,0.00120491,0.00120491,0.00120491
16,106.927,0.70651,0.57955,1,0.69076,0.0011719,0.0011719,0.0011719
17,113.239,0.70926,0.52652,1,0.72743,0.00113889,0.00113889,0.00113889
18,119.593,0.71931,0.48864,1,0.69472,0.00110589,0.00110589,0.00110589
19,125.782,0.70985,0.48106,1,0.71105,0.00107288,0.00107288,0.00107288
20,133.671,0.71332,0.46591,1,0.69461,0.00103987,0.00103987,0.00103987
21,139.881,0.71083,0.51894,1,0.82129,0.00100687,0.00100687,0.00100687
22,146.294,0.76244,0.49621,1,0.69309,0.000973861,0.000973861,0.000973861
23,152.524,0.70265,0.52652,1,0.70106,0.000940855,0.000940855,0.000940855
24,160.533,0.69711,0.49242,1,0.70936,0.000907848,0.000907848,0.000907848
25,166.716,0.69766,0.47727,1,nan,0.000874842,0.000874842,0.000874842
26,173.108,0.69395,0.50758,1,0.71821,0.000841835,0.000841835,0.000841835
27,179.329,0.71085,0.5303,1,0.68267,0.000808828,0.000808828,0.000808828
28,187.227,0.70021,0.51515,1,0.71593,0.000775822,0.000775822,0.000775822
29,193.451,0.70387,0.51515,1,nan,0.000742815,0.000742815,0.000742815
30,199.924,0.71724,0.5,1,nan,0.000709809,0.000709809,0.000709809
31,206.286,0.70262,0.47727,1,0.69157,0.000676802,0.000676802,0.000676802
32,214.131,0.71518,0.53788,1,0.68972,0.000643795,0.000643795,0.000643795
33,220.421,0.70436,0.46212,1,0.77197,0.000610789,0.000610789,0.000610789
34,226.902,0.71897,0.54924,1,nan,0.000577782,0.000577782,0.000577782
35,233.168,0.70467,0.5303,1,0.69851,0.000544776,0.000544776,0.000544776
36,240.998,0.69789,0.52652,1,nan,0.000511769,0.000511769,0.000511769
37,247.354,0.69569,0.47727,1,nan,0.000478762,0.000478762,0.000478762
38,253.839,0.69467,0.47348,1,0.70399,0.000445756,0.000445756,0.000445756
39,260.054,0.6963,0.51894,1,nan,0.000412749,0.000412749,0.000412749
40,267.231,0.69481,0.52652,1,nan,0.000379743,0.000379743,0.000379743
41,273.852,0.69385,0.49621,1,nan,0.000346736,0.000346736,0.000346736
42,280.374,0.70331,0.51515,1,0.69857,0.000313729,0.000313729,0.000313729
43,286.627,0.69498,0.51515,1,nan,0.000280723,0.000280723,0.000280723
44,294.681,0.69553,0.52652,1,nan,0.000247716,0.000247716,0.000247716
45,300.912,0.69001,0.5,1,0.68777,0.00021471,0.00021471,0.00021471
46,307.383,0.69816,0.47727,1,nan,0.000181703,0.000181703,0.000181703
47,313.63,0.6952,0.49621,1,nan,0.000148696,0.000148696,0.000148696
48,321.48,0.69281,0.51515,1,nan,0.00011569,0.00011569,0.00011569
49,327.729,0.69518,0.51136,1,nan,8.26832e-05,8.26832e-05,8.26832e-05
50,334.234,0.69271,0.50758,1,nan,4.96766e-05,4.96766e-05,4.96766e-05
