epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.11579,0.69295,0.55556,1,0.65251,0.00021671,0.00021671,0.00021671
2,4.48259,0.34464,0.72222,1,0.65845,0.000441178,0.000441178,0.000441178
3,8.13147,0.20463,0.625,1,1.06087,0.000656405,0.000656405,0.000656405
4,10.349,0.25173,0.75,1,0.85742,0.000862389,0.000862389,0.000862389
5,15.2103,0.34372,0.66667,1,0.70988,0.00105913,0.00105913,0.00105913
6,31.1406,0.48186,0.625,1,1.82454,0.00124663,0.00124663,0.00124663
7,32.9221,0.47803,0.5,1,2.9056,0.00142489,0.00142489,0.00142489
8,34.7384,0.79654,0.52778,1,2.3252,0.00143595,0.00143595,0.00143595
9,36.5528,0.84231,0.58333,1,1.5498,0.00140295,0.00140295,0.00140295
10,39.7537,0.80638,0.625,1,nan,0.00136994,0.00136994,0.00136994
11,41.5252,0.73534,0.65278,1,nan,0.00133693,0.00133693,0.00133693
12,43.4842,0.66703,0.52778,1,3.50098,0.00130393,0.00130393,0.00130393
13,47.4959,0.76848,0.34722,1,4.89323,0.00127092,0.00127092,0.00127092
14,60.3133,0.75832,0.65278,1,0.86938,0.00123791,0.00123791,0.00123791
15,62.0978,0.64588,0.66667,1,1.77441,0.00120491,0.00120491,0.00120491
16,64.5218,0.63684,0.58333,1,1.69141,0.0011719,0.0011719,0.0011719
17,67.9405,0.65,0.625,1,0.87874,0.00113889,0.00113889,0.00113889
18,78.5144,0.6064,0.51389,1,1.17106,0.00110589,0.00110589,0.00110589
19,80.4449,0.54161,0.61111,1,0.71785,0.00107288,0.00107288,0.00107288
20,82.2953,0.54813,0.61111,1,1.04948,0.00103987,0.00103987,0.00103987
21,84.0759,0.5383,0.47222,1,1.32552,0.00100687,0.00100687,0.00100687
22,85.91,0.53124,0.56944,1,2.07601,0.000973861,0.000973861,0.000973861
23,87.7608,0.47061,0.61111,1,1.20508,0.000940855,0.000940855,0.000940855
24,89.5695,0.4985,0.625,1,0.86369,0.000907848,0.000907848,0.000907848
25,91.3491,0.54364,0.68056,1,0.63493,0.000874842,0.000874842,0.000874842
26,93.5968,0.57629,0.625,1,0.87777,0.000841835,0.000841835,0.000841835
27,95.3877,0.57248,0.63889,1,0.81706,0.000808828,0.000808828,0.000808828
28,97.2595,0.55397,0.68056,1,0.7085,0.000775822,0.000775822,0.000775822
29,99.7528,0.47966,0.66667,1,0.84863,0.000742815,0.000742815,0.000742815
30,104.362,0.44732,0.625,1,0.7216,0.000709809,0.000709809,0.000709809
31,106.171,0.45785,0.625,1,0.87891,0.000676802,0.000676802,0.000676802
32,108.045,0.42516,0.73611,1,0.69507,0.000643795,0.000643795,0.000643795
33,109.9,0.3801,0.69444,1,0.90137,0.000610789,0.000610789,0.000610789
34,113.26,0.38921,0.72222,1,0.99349,0.000577782,0.000577782,0.000577782
35,115.045,0.4473,0.70833,1,1.24544,0.000544776,0.000544776,0.000544776
36,116.883,0.45369,0.63889,1,0.94108,0.000511769,0.000511769,0.000511769
37,118.911,0.36747,0.72222,1,0.63114,0.000478762,0.000478762,0.000478762
38,120.725,0.44992,0.70833,1,0.74479,0.000445756,0.000445756,0.000445756
39,122.539,0.3656,0.68056,1,0.73641,0.000412749,0.000412749,0.000412749
40,125.101,0.35132,0.73611,1,0.80811,0.000379743,0.000379743,0.000379743
41,129.913,0.33387,0.72222,1,0.72493,0.000346736,0.000346736,0.000346736
42,131.999,0.32903,0.75,1,1.03727,0.000313729,0.000313729,0.000313729
43,135.366,0.2401,0.73611,1,0.88428,0.000280723,0.000280723,0.000280723
44,137.943,0.38557,0.73611,1,0.8418,0.000247716,0.000247716,0.000247716
45,142.272,0.24657,0.75,1,1.00065,0.00021471,0.00021471,0.00021471
46,145.698,0.26594,0.75,1,1.02718,0.000181703,0.000181703,0.000181703
47,149.362,0.27829,0.73611,1,0.87174,0.000148696,0.000148696,0.000148696
48,151.191,0.26496,0.75,1,1.44271,0.00011569,0.00011569,0.00011569
49,154.698,0.23008,0.75,1,1.06689,8.26832e-05,8.26832e-05,8.26832e-05
50,159.297,0.29183,0.73611,1,0.8929,4.96766e-05,4.96766e-05,4.96766e-05
