epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.61159,0.60893,0.83908,1,0.36279,0.00026672,0.00026672,0.00026672
2,5.20673,0.2845,0.85057,1,0.35311,0.000539218,0.000539218,0.000539218
3,7.94398,0.25027,0.78161,1,1.14307,0.000800493,0.000800493,0.000800493
4,10.2519,0.4354,0.8046,1,0.70955,0.00105055,0.00105055,0.00105055
5,12.481,0.48998,0.81609,1,1.63607,0.00128938,0.00128938,0.00128938
6,14.6272,0.35911,0.87356,1,0.58124,0.00150197,0.00150197,0.00150197
7,18.495,0.44878,0.73563,1,4.10417,0.00146896,0.00146896,0.00146896
8,23.3196,0.51889,0.41379,1,8.11328,0.00143595,0.00143595,0.00143595
9,25.37,0.58283,0.70115,1,3.97721,0.00140295,0.00140295,0.00140295
10,27.4979,0.53257,0.66667,1,2.72152,0.00136994,0.00136994,0.00136994
11,29.6865,0.52915,0.68966,1,0.82682,0.00133693,0.00133693,0.00133693
12,31.8955,0.58341,0.65517,1,0.67822,0.00130393,0.00130393,0.00130393
13,33.9941,0.53422,0.74713,1,1.17773,0.00127092,0.00127092,0.00127092
14,37.3829,0.55601,0.74713,1,1.04899,0.00123791,0.00123791,0.00123791
15,39.4174,0.5544,0.78161,1,0.90601,0.00120491,0.00120491,0.00120491
16,41.4688,0.57475,0.82759,1,0.49731,0.0011719,0.0011719,0.0011719
17,43.5214,0.55288,0.78161,1,0.7701,0.00113889,0.00113889,0.00113889
18,45.6044,0.55084,0.86207,1,0.45597,0.00110589,0.00110589,0.00110589
19,48.0392,0.45862,0.85057,1,0.42008,0.00107288,0.00107288,0.00107288
20,52.7996,0.44219,0.7931,1,0.50643,0.00103987,0.00103987,0.00103987
21,54.867,0.43093,0.82759,1,0.50073,0.00100687,0.00100687,0.00100687
22,57.0324,0.43909,0.7931,1,0.57658,0.000973861,0.000973861,0.000973861
23,59.1302,0.57829,0.87356,1,0.37227,0.000940855,0.000940855,0.000940855
24,62.9097,0.43832,0.82759,1,0.38306,0.000907848,0.000907848,0.000907848
25,66.4524,0.45702,0.81609,1,0.48356,0.000874842,0.000874842,0.000874842
26,68.4859,0.38664,0.82759,1,0.40137,0.000841835,0.000841835,0.000841835
27,70.6644,0.34804,0.86207,1,0.33061,0.000808828,0.000808828,0.000808828
28,72.7546,0.35847,0.86207,1,0.3138,0.000775822,0.000775822,0.000775822
29,75.6498,0.37281,0.87356,1,0.44316,0.000742815,0.000742815,0.000742815
30,81.5755,0.3194,0.86207,1,0.6143,0.000709809,0.000709809,0.000709809
31,83.6312,0.38279,0.86207,1,0.42008,0.000676802,0.000676802,0.000676802
32,85.8841,0.31103,0.87356,1,0.33268,0.000643795,0.000643795,0.000643795
33,89.6149,0.37577,0.90805,1,0.30103,0.000610789,0.000610789,0.000610789
34,93.9497,0.28733,0.87356,1,0.24516,0.000577782,0.000577782,0.000577782
35,96.1526,0.24862,0.87356,1,0.27246,0.000544776,0.000544776,0.000544776
36,98.2276,0.30395,0.85057,1,0.31844,0.000511769,0.000511769,0.000511769
37,100.29,0.24194,0.87356,1,0.34896,0.000478762,0.000478762,0.000478762
38,103.349,0.25419,0.86207,1,0.35913,0.000445756,0.000445756,0.000445756
39,106.218,0.32616,0.87356,1,0.34648,0.000412749,0.000412749,0.000412749
40,111.096,0.27781,0.88506,1,0.3175,0.000379743,0.000379743,0.000379743
41,113.83,0.27643,0.90805,1,0.37736,0.000346736,0.000346736,0.000346736
42,117.859,0.24009,0.86207,1,0.3361,0.000313729,0.000313729,0.000313729
43,120.289,0.22734,0.85057,1,0.34188,0.000280723,0.000280723,0.000280723
44,122.524,0.22642,0.86207,1,0.42391,0.000247716,0.000247716,0.000247716
45,125.395,0.28873,0.87356,1,0.38436,0.00021471,0.00021471,0.00021471
46,127.452,0.29009,0.88506,1,0.33765,0.000181703,0.000181703,0.000181703
47,129.513,0.26154,0.88506,1,0.29316,0.000148696,0.000148696,0.000148696
48,131.643,0.36575,0.90805,1,0.2795,0.00011569,0.00011569,0.00011569
49,135.668,0.24176,0.89655,1,0.30021,8.26832e-05,8.26832e-05,8.26832e-05
50,140.296,0.21207,0.89655,1,0.31966,4.96766e-05,4.96766e-05,4.96766e-05
